0.3
1
2000
30000
1	A	3592.59375	9693.60185000021	冰雪
1	B	10777.59375	28141.564809998963	干热灌丛
2	B	11572.59375	26045.63889000006	干热灌丛
3	B	10972.59375	27893.78703999892	干热灌丛
4	B	11017.59375	28023.509260000195	干热灌丛
5	B	11182.59375	27924.157409999985	干热灌丛
6	B	10612.59375	27828.41667000018	干热灌丛
7	B	11227.59375	27732.67592999898	干热灌丛
8	B	10687.59375	27616.379629998934	干热灌丛
9	B	11347.59375	27511.194440000225	干热灌丛
10	B	11347.59375	27717.86110999901	干热灌丛
1	C	10732.59375	26890.17592999898	暖性针叶林
11	B	10207.59375	27545.268519998994	干热灌丛
12	B	10117.59375	27447.67592999898	干热灌丛
13	B	10447.59375	27431.009260000195	干热灌丛
14	B	11377.59375	27252.67592999898	干热灌丛
2	C	10687.59375	26303.046300000045	暖性针叶林
15	B	9922.59375	27228.41667000018	干热灌丛
3	C	10252.59375	26099.71296000015	暖性针叶林
1	D	12367.59375	26888.60185000021	针阔混交林
16	B	12037.59375	26886.935190000106	干热灌丛
17	B	12457.59375	26723.78703999892	干热灌丛
18	B	11782.59375	26843.78703999892	干热灌丛
19	B	11032.59375	26958.41667000018	干热灌丛
20	B	9802.59375	26915.268519998994	干热灌丛
21	B	11497.59375	26902.120370000135	干热灌丛
1	E	14527.59375	26847.86110999901	温性针叶林
2	E	14272.59375	26427.120370000135	温性针叶林
22	B	11002.59375	26761.564809998963	干热灌丛
23	B	9667.59375	26831.009260000195	干热灌丛
3	E	13927.59375	26710.91667000018	温性针叶林
1	F	10822.59375	26607.67592999898	河流
4	E	13522.59375	26288.60185000021	温性针叶林
5	E	14692.59375	26680.91667000018	温性针叶林
2	D	13117.59375	26753.78703999892	针阔混交林
3	D	13267.59375	26731.564809998963	针阔混交林
6	E	13447.59375	26692.120370000135	温性针叶林
7	E	13597.59375	26665.82407000009	温性针叶林
24	B	10087.59375	26675.268519998994	干热灌丛
25	B	11242.59375	26737.305559998844	干热灌丛
8	E	9397.59375	26632.120370000135	温性针叶林
9	E	14962.59375	26219.25	温性针叶林
26	B	9787.59375	26155.083329998888	干热灌丛
27	B	11152.59375	26098.78703999892	干热灌丛
4	C	9502.59375	26581.564809998963	暖性针叶林
28	B	11227.59375	26607.86110999901	干热灌丛
29	B	12757.59375	26525.268519998994	干热灌丛
10	E	9202.59375	26512.21296000015	温性针叶林
30	B	12787.59375	25588.046300000045	干热灌丛
11	E	14932.59375	26468.97221999895	温性针叶林
4	D	13327.59375	26452.21296000015	针阔混交林
31	B	11842.59375	26465.268519998994	干热灌丛
12	E	9097.59375	26194.89814999886	温性针叶林
5	C	9382.59375	26303.78703999892	暖性针叶林
32	B	11437.59375	26401.564809998963	干热灌丛
33	B	11017.59375	25008.78703999892	干热灌丛
34	B	12007.59375	26457.86110999901	干热灌丛
6	C	10552.59375	26392.21296000015	暖性针叶林
35	B	12307.59375	26444.71296000015	干热灌丛
13	E	8692.59375	26441.009260000195	温性针叶林
7	C	9127.59375	25622.120370000135	暖性针叶林
8	C	9382.59375	26411.009260000195	暖性针叶林
1	G	14017.59375	26240.268519998994	暖温性稀树灌木草丛
36	B	12607.59375	26275.82407000009	干热灌丛
14	E	8662.59375	26328.41667000018	温性针叶林
